"AIQ","HCI","SD","BF","D","EL","AGNT+AGNTconf"
55.3,1.5,24.2,BF5,1.0,10000,MC_AIXI,50,8,3,0.85,0.3
45.9,0.5,24.9,BF5,1.0,10000,Q_l,0.0,0.0,0.5,0.005,0.95
49.6,0.5,23.9,BF5,1.0,10000,Q_l,0.0,0.0,0.5,0.01,0.9
50.2,0.4,22.8,BF5,1.0,10000,Q_l,0.0,0.0,0.5,0.02,0.8
49.3,0.4,21.7,BF5,1.0,10000,Q_l,0.0,0.0,0.5,0.03,0.7
47.5,0.4,21.1,BF5,1.0,10000,Q_l,0.0,0.0,0.5,0.04,0.6
47.2,0.5,25.6,BF5,1.0,10000,Q_l,0.0,0.5,0.5,0.005,0.95
51.2,0.5,24.2,BF5,1.0,10000,Q_l,0.0,0.5,0.5,0.01,0.9
51.7,0.4,22.8,BF5,1.0,10000,Q_l,0.0,0.5,0.5,0.02,0.8
50.1,0.4,22.0,BF5,1.0,10000,Q_l,0.0,0.5,0.5,0.03,0.6
49.2,0.4,21.7,BF5,1.0,10000,Q_l,0.0,0.5,0.5,0.04,0.6
46.6,0.5,24.7,BF5,1.0,30000,Freq,0.03
47.5,0.5,24.1,BF5,1.0,30000,Freq,0.05
47.5,0.5,23.7,BF5,1.0,30000,Freq,0.07
47.3,0.5,23.4,BF5,1.0,30000,Freq,0.09
46.6,0.4,22.8,BF5,1.0,30000,Freq,0.11
53.1,0.4,22.5,BF5,1.0,30000,H_l,0.0,0.0,0.95,0.04,0.7
55.7,0.5,23.6,BF5,1.0,30000,H_l,0.0,0.0,0.99,0.02,0.7
54.5,0.5,23.0,BF5,1.0,30000,H_l,0.0,0.0,0.99,0.04,0.6
55.3,0.5,24.9,BF5,1.0,30000,H_l,0.0,0.0,0.995,0.005,0.9
55.5,0.5,25.2,BF5,1.0,30000,H_l,0.0,0.0,0.995,0.01,0.8
56.3,1.5,24.3,BF5,1.0,30000,MC_AIXI,100,16,4,0.85,0.9
50.2,1.3,20.5,BF5,1.0,30000,MC_AIXI,100,32,3,0.05,1.0
56.7,1.6,26.4,BF5,1.0,30000,MC_AIXI,100,8,3,0.9,0.6
54.6,1.4,23.3,BF5,1.0,30000,MC_AIXI,50,16,2,0.95,0.9
56.6,1.6,25.0,BF5,1.0,30000,MC_AIXI,50,8,3,0.85,0.3
51.6,0.5,24.9,BF5,1.0,30000,Q_l,0.0,0.0,0.5,0.005,0.95
52.8,0.5,23.7,BF5,1.0,30000,Q_l,0.0,0.0,0.5,0.01,0.9
51.6,0.4,22.7,BF5,1.0,30000,Q_l,0.0,0.0,0.5,0.02,0.8
50.0,0.4,21.7,BF5,1.0,30000,Q_l,0.0,0.0,0.5,0.03,0.7
48.1,0.4,21.2,BF5,1.0,30000,Q_l,0.0,0.0,0.5,0.04,0.6
52.3,0.5,25.4,BF5,1.0,30000,Q_l,0.0,0.5,0.5,0.005,0.95
53.9,0.5,23.7,BF5,1.0,30000,Q_l,0.0,0.5,0.5,0.01,0.9
53.0,0.4,22.9,BF5,1.0,30000,Q_l,0.0,0.5,0.5,0.02,0.8
50.8,0.4,22.0,BF5,1.0,30000,Q_l,0.0,0.5,0.5,0.03,0.6
49.7,0.4,21.7,BF5,1.0,30000,Q_l,0.0,0.5,0.5,0.04,0.6
48.8,0.5,24.9,BF5,1.0,100000,Freq,0.03
49.4,0.5,24.2,BF5,1.0,100000,Freq,0.05
49.0,0.5,23.9,BF5,1.0,100000,Freq,0.07
48.7,0.5,23.5,BF5,1.0,100000,Freq,0.09
47.9,0.5,23.0,BF5,1.0,100000,Freq,0.11
53.3,0.4,22.5,BF5,1.0,100000,H_l,0.0,0.0,0.95,0.04,0.7
56.0,0.5,23.7,BF5,1.0,100000,H_l,0.0,0.0,0.99,0.02,0.7
54.7,0.4,23.0,BF5,1.0,100000,H_l,0.0,0.0,0.99,0.04,0.6
56.4,0.5,24.9,BF5,1.0,100000,H_l,0.0,0.0,0.995,0.005,0.9
56.3,0.5,25.0,BF5,1.0,100000,H_l,0.0,0.0,0.995,0.01,0.8
57.2,1.5,24.8,BF5,1.0,100000,MC_AIXI,100,16,4,0.85,0.9
52.3,1.3,20.8,BF5,1.0,100000,MC_AIXI,100,32,3,0.05,1.0
57.6,1.7,26.9,BF5,1.0,100000,MC_AIXI,100,8,3,0.9,0.6
55.3,1.5,23.6,BF5,1.0,100000,MC_AIXI,50,16,2,0.95,0.9
57.2,1.6,25.4,BF5,1.0,100000,MC_AIXI,50,8,3,0.85,0.3
54.5,0.5,25.0,BF5,1.0,100000,Q_l,0.0,0.0,0.5,0.005,0.95
54.0,0.5,24.0,BF5,1.0,100000,Q_l,0.0,0.0,0.5,0.01,0.9
52.1,0.4,22.8,BF5,1.0,100000,Q_l,0.0,0.0,0.5,0.02,0.8
50.2,0.4,22.0,BF5,1.0,100000,Q_l,0.0,0.0,0.5,0.03,0.7
48.2,0.4,21.4,BF5,1.0,100000,Q_l,0.0,0.0,0.5,0.04,0.6
54.8,0.5,25.4,BF5,1.0,100000,Q_l,0.0,0.5,0.5,0.005,0.95
54.9,0.5,23.7,BF5,1.0,100000,Q_l,0.0,0.5,0.5,0.01,0.9
53.5,0.5,23.0,BF5,1.0,100000,Q_l,0.0,0.5,0.5,0.02,0.8
51.0,0.4,22.3,BF5,1.0,100000,Q_l,0.0,0.5,0.5,0.03,0.6
49.8,0.4,22.0,BF5,1.0,100000,Q_l,0.0,0.5,0.5,0.04,0.6
